WEIGHT NAME                                        SHAPE             MIN           MAX           STD      
conv1_2/kernel:0                               (7, 7, 3, 64)        -0.8616        +0.8451      +0.1315   
conv1_2/bias:0                                     (64,)            -0.0002        +0.0004      +0.0001   
bn_conv1_2/gamma:0                                 (64,)            +0.0835        +2.6411      +0.5091   
bn_conv1_2/beta:0                                  (64,)            -2.3931        +5.3610      +1.9781   
bn_conv1_2/moving_mean:0                           (64,)          -173.0470      +116.3013     +44.5654   
bn_conv1_2/moving_variance:0 *Overflow?            (64,)            +0.0000    +146335.3594  +21847.9668  
res2a_branch2a_2/kernel:0                      (1, 1, 64, 64)       -0.6574        +0.3179      +0.0764   
res2a_branch2a_2/bias:0                            (64,)            -0.0022        +0.0082      +0.0018   
bn2a_branch2a_2/gamma:0                            (64,)            +0.2169        +1.8489      +0.4116   
bn2a_branch2a_2/beta:0                             (64,)            -2.1180        +3.7332      +1.1786   
bn2a_branch2a_2/moving_mean:0                      (64,)            -6.1235        +7.2220      +2.2789   
bn2a_branch2a_2/moving_variance:0                  (64,)            +0.0000        +8.9258      +2.0314   
res2a_branch2b_2/kernel:0                      (3, 3, 64, 64)       -0.3878        +0.5070      +0.0323   
res2a_branch2b_2/bias:0                            (64,)            -0.0037        +0.0026      +0.0010   
bn2a_branch2b_2/gamma:0                            (64,)            +0.3165        +1.7010      +0.3042   
bn2a_branch2b_2/beta:0                             (64,)            -1.9348        +4.5429      +1.5113   
bn2a_branch2b_2/moving_mean:0                      (64,)            -6.7752        +4.5769      +2.2594   
bn2a_branch2b_2/moving_variance:0                  (64,)            +0.0000        +5.5085      +1.0835   
res2a_branch2c_2/kernel:0                     (1, 1, 64, 256)       -0.4468        +0.3615      +0.0410   
res2a_branch2c_2/bias:0                            (256,)           -0.0041        +0.0052      +0.0016   
res2a_branch1_2/kernel:0                      (1, 1, 64, 256)       -0.8674        +0.7588      +0.0703   
res2a_branch1_2/bias:0                             (256,)           -0.0034        +0.0025      +0.0009   
bn2a_branch2c_2/gamma:0                            (256,)           -0.5782        +3.1806      +0.6192   
bn2a_branch2c_2/beta:0                             (256,)           -1.1422        +1.4273      +0.4229   
bn2a_branch2c_2/moving_mean:0                      (256,)           -4.2602        +3.0864      +1.0168   
bn2a_branch2c_2/moving_variance:0                  (256,)           +0.0000        +2.6688      +0.3827   
bn2a_branch1_2/gamma:0                             (256,)           +0.2411        +3.4973      +0.6241   
bn2a_branch1_2/beta:0                              (256,)           -1.1422        +1.4274      +0.4229   
bn2a_branch1_2/moving_mean:0                       (256,)           -8.0883        +8.6554      +2.0289   
bn2a_branch1_2/moving_variance:0                   (256,)           +0.0000        +8.7306      +1.5526   
res2b_branch2a_2/kernel:0                     (1, 1, 256, 64)       -0.2536        +0.2319      +0.0358   
res2b_branch2a_2/bias:0                            (64,)            -0.0027        +0.0028      +0.0012   
bn2b_branch2a_2/gamma:0                            (64,)            +0.2032        +1.7708      +0.3812   
bn2b_branch2a_2/beta:0                             (64,)            -2.0546        +1.6670      +0.8851   
bn2b_branch2a_2/moving_mean:0                      (64,)            -1.5484        +1.7334      +0.7177   
bn2b_branch2a_2/moving_variance:0                  (64,)            +0.0000        +2.7921      +0.7575   
res2b_branch2b_2/kernel:0                      (3, 3, 64, 64)       -0.5226        +0.3397      +0.0356   
res2b_branch2b_2/bias:0                            (64,)            -0.0047        +0.0033      +0.0015   
bn2b_branch2b_2/gamma:0                            (64,)            +0.5213        +1.4725      +0.2252   
bn2b_branch2b_2/beta:0                             (64,)            -2.4533        +2.7526      +1.1960   
bn2b_branch2b_2/moving_mean:0                      (64,)            -1.8186        +0.8886      +0.5529   
bn2b_branch2b_2/moving_variance:0                  (64,)            +0.0808        +1.1064      +0.2187   
res2b_branch2c_2/kernel:0                     (1, 1, 64, 256)       -0.3382        +0.3298      +0.0415   
res2b_branch2c_2/bias:0                            (256,)           -0.0075        +0.0103      +0.0020   
bn2b_branch2c_2/gamma:0                            (256,)           -0.0363        +1.7920      +0.4227   
bn2b_branch2c_2/beta:0                             (256,)           -1.2938        +0.9636      +0.3430   
bn2b_branch2c_2/moving_mean:0                      (256,)           -2.4192        +2.0440      +0.5019   
bn2b_branch2c_2/moving_variance:0                  (256,)           +0.0000        +0.1844      +0.0315   
res2c_branch2a_2/kernel:0                     (1, 1, 256, 64)       -0.3012        +0.2199      +0.0415   
res2c_branch2a_2/bias:0                            (64,)            -0.0009        +0.0024      +0.0008   
bn2c_branch2a_2/gamma:0                            (64,)            +0.2659        +1.8204      +0.2834   
bn2c_branch2a_2/beta:0                             (64,)            -2.0168        +0.8445      +0.7879   
bn2c_branch2a_2/moving_mean:0                      (64,)            -4.5208        +1.6091      +1.2391   
bn2c_branch2a_2/moving_variance:0                  (64,)            +0.0000        +3.4581      +0.7942   
res2c_branch2b_2/kernel:0                      (3, 3, 64, 64)       -0.2007        +0.2176      +0.0378   
res2c_branch2b_2/bias:0                            (64,)            -0.0030        +0.0058      +0.0018   
bn2c_branch2b_2/gamma:0                            (64,)            +0.6267        +1.5415      +0.2137   
bn2c_branch2b_2/beta:0                             (64,)            -2.4090        +1.8192      +0.6302   
bn2c_branch2b_2/moving_mean:0                      (64,)            -1.4737        +0.0594      +0.2559   
bn2c_branch2b_2/moving_variance:0                  (64,)            +0.2314        +2.1085      +0.3072   
res2c_branch2c_2/kernel:0                     (1, 1, 64, 256)       -0.2935        +0.2596      +0.0434   
res2c_branch2c_2/bias:0                            (256,)           -0.0041        +0.0184      +0.0029   
bn2c_branch2c_2/gamma:0                            (256,)           -0.0217        +2.3695      +0.5250   
bn2c_branch2c_2/beta:0                             (256,)           -1.6829        +1.0992      +0.4280   
bn2c_branch2c_2/moving_mean:0                      (256,)           -1.2568        +0.7135      +0.2851   
bn2c_branch2c_2/moving_variance:0                  (256,)           +0.0010        +0.5712      +0.0975   
res3a_branch2a_2/kernel:0                     (1, 1, 256, 128)      -0.4997        +0.6191      +0.0305   
res3a_branch2a_2/bias:0                            (128,)           -0.0025        +0.0020      +0.0009   
bn3a_branch2a_2/gamma:0                            (128,)           +0.4899        +1.3306      +0.1884   
bn3a_branch2a_2/beta:0                             (128,)           -1.8391        +2.5643      +0.7573   
bn3a_branch2a_2/moving_mean:0                      (128,)           -4.0452        +1.7707      +0.8690   
bn3a_branch2a_2/moving_variance:0                  (128,)           +0.0620        +7.9964      +1.2851   
res3a_branch2b_2/kernel:0                     (3, 3, 128, 128)      -0.3225        +0.4509      +0.0223   
res3a_branch2b_2/bias:0                            (128,)           -0.0011        +0.0019      +0.0006   
bn3a_branch2b_2/gamma:0                            (128,)           +0.4666        +1.8240      +0.2182   
bn3a_branch2b_2/beta:0                             (128,)           -1.9434        +1.8963      +0.7859   
bn3a_branch2b_2/moving_mean:0                      (128,)           -5.8993        +3.3426      +2.0065   
bn3a_branch2b_2/moving_variance:0                  (128,)           +0.0001        +6.9908      +0.9404   
res3a_branch2c_2/kernel:0                     (1, 1, 128, 512)      -0.4949        +0.3345      +0.0283   
res3a_branch2c_2/bias:0                            (512,)           -0.0063        +0.0078      +0.0013   
res3a_branch1_2/kernel:0                      (1, 1, 256, 512)      -0.4556        +0.6877      +0.0290   
res3a_branch1_2/bias:0                             (512,)           -0.0055        +0.0039      +0.0008   
bn3a_branch2c_2/gamma:0                            (512,)           -0.0039        +3.7005      +0.6168   
bn3a_branch2c_2/beta:0                             (512,)           -0.9616        +1.4438      +0.3693   
bn3a_branch2c_2/moving_mean:0                      (512,)           -1.6188        +1.3639      +0.3736   
bn3a_branch2c_2/moving_variance:0                  (512,)           +0.0002        +0.9085      +0.1065   
bn3a_branch1_2/gamma:0                             (512,)           -0.0158        +2.6945      +0.4766   
bn3a_branch1_2/beta:0                              (512,)           -0.9616        +1.4437      +0.3693   
bn3a_branch1_2/moving_mean:0                       (512,)           -3.5990        +2.8529      +0.7936   
bn3a_branch1_2/moving_variance:0                   (512,)           +0.0030        +6.5634      +0.6189   
res3b_branch2a_2/kernel:0                     (1, 1, 512, 128)      -0.2015        +0.1914      +0.0252   
res3b_branch2a_2/bias:0                            (128,)           -0.0015        +0.0020      +0.0008   
bn3b_branch2a_2/gamma:0                            (128,)           +0.5928        +1.5316      +0.1783   
bn3b_branch2a_2/beta:0                             (128,)           -3.9542        +0.6799      +0.6433   
bn3b_branch2a_2/moving_mean:0                      (128,)           -2.6765        +1.1148      +0.6228   
bn3b_branch2a_2/moving_variance:0                  (128,)           +0.2431        +3.5601      +0.5766   
res3b_branch2b_2/kernel:0                     (3, 3, 128, 128)      -0.2265        +0.2805      +0.0240   
res3b_branch2b_2/bias:0                            (128,)           -0.0027        +0.0051      +0.0013   
bn3b_branch2b_2/gamma:0                            (128,)           +0.4900        +1.4915      +0.2334   
bn3b_branch2b_2/beta:0                             (128,)           -2.4206        +1.4218      +0.6774   
bn3b_branch2b_2/moving_mean:0                      (128,)           -2.1795        +1.2802      +0.4907   
bn3b_branch2b_2/moving_variance:0                  (128,)           +0.0892        +1.4424      +0.2128   
res3b_branch2c_2/kernel:0                     (1, 1, 128, 512)      -0.3113        +0.4752      +0.0289   
res3b_branch2c_2/bias:0                            (512,)           -0.0061        +0.0141      +0.0020   
bn3b_branch2c_2/gamma:0                            (512,)           -0.0431        +2.0087      +0.4044   
bn3b_branch2c_2/beta:0                             (512,)           -1.5772        +1.1600      +0.3742   
bn3b_branch2c_2/moving_mean:0                      (512,)           -1.0651        +0.6899      +0.2256   
bn3b_branch2c_2/moving_variance:0                  (512,)           +0.0002        +0.1858      +0.0288   
res3c_branch2a_2/kernel:0                     (1, 1, 512, 128)      -0.2672        +0.2625      +0.0284   
res3c_branch2a_2/bias:0                            (128,)           -0.0017        +0.0035      +0.0008   
bn3c_branch2a_2/gamma:0                            (128,)           +0.5933        +1.4906      +0.1891   
bn3c_branch2a_2/beta:0                             (128,)           -2.8070        +0.7289      +0.5408   
bn3c_branch2a_2/moving_mean:0                      (128,)           -3.0308        +1.6105      +0.8393   
