WEIGHT NAME                                        SHAPE             MIN           MAX           STD      
conv1/kernel:0                                 (7, 7, 3, 64)        -0.8546        +0.8473      +0.1305   
conv1/bias:0                                       (64,)            -0.0001        +0.0001      +0.0000   
bn_conv1/gamma:0                                   (64,)            +0.0835        +2.6244      +0.5057   
bn_conv1/beta:0                                    (64,)            -2.3942        +5.3658      +1.9789   
bn_conv1/moving_mean:0                             (64,)          -172.9685       +94.5717     +42.0063   
bn_conv1/moving_variance:0 *Overflow?              (64,)            +0.0000    +110557.9688  +16228.7607  
res2a_branch2a/kernel:0                        (1, 1, 64, 64)       -0.6536        +0.3163      +0.0762   
res2a_branch2a/bias:0                              (64,)            -0.0008        +0.0029      +0.0007   
bn2a_branch2a/gamma:0                              (64,)            +0.2169        +1.8489      +0.4113   
bn2a_branch2a/beta:0                               (64,)            -2.1180        +3.7337      +1.1790   
bn2a_branch2a/moving_mean:0                        (64,)            -6.3118        +7.4370      +2.4037   
bn2a_branch2a/moving_variance:0                    (64,)            +0.0000        +8.8091      +2.1498   
res2a_branch2b/kernel:0                        (3, 3, 64, 64)       -0.3816        +0.5103      +0.0321   
res2a_branch2b/bias:0                              (64,)            -0.0011        +0.0009      +0.0004   
bn2a_branch2b/gamma:0                              (64,)            +0.3165        +1.7224      +0.3098   
bn2a_branch2b/beta:0                               (64,)            -1.9348        +4.5446      +1.5116   
bn2a_branch2b/moving_mean:0                        (64,)            -6.7890        +4.2754      +2.2064   
bn2a_branch2b/moving_variance:0                    (64,)            +0.0000        +5.5464      +1.1573   
res2a_branch2c/kernel:0                       (1, 1, 64, 256)       -0.4401        +0.3582      +0.0408   
res2a_branch2c/bias:0                              (256,)           -0.0017        +0.0018      +0.0006   
res2a_branch1/kernel:0                        (1, 1, 64, 256)       -0.8491        +0.7553      +0.0695   
res2a_branch1/bias:0                               (256,)           -0.0010        +0.0010      +0.0003   
bn2a_branch2c/gamma:0                              (256,)           -0.5813        +3.1804      +0.6199   
bn2a_branch2c/beta:0                               (256,)           -1.1408        +1.4278      +0.4229   
bn2a_branch2c/moving_mean:0                        (256,)           -4.2796        +3.1055      +1.0352   
bn2a_branch2c/moving_variance:0                    (256,)           +0.0000        +2.6966      +0.4085   
bn2a_branch1/gamma:0                               (256,)           +0.2393        +3.5008      +0.6239   
bn2a_branch1/beta:0                                (256,)           -1.1408        +1.4278      +0.4229   
bn2a_branch1/moving_mean:0                         (256,)           -8.1191        +8.7749      +2.0398   
bn2a_branch1/moving_variance:0                     (256,)           +0.0000       +10.3201      +1.6540   
res2b_branch2a/kernel:0                       (1, 1, 256, 64)       -0.2447        +0.2260      +0.0356   
res2b_branch2a/bias:0                              (64,)            -0.0013        +0.0011      +0.0005   
